8157 WIND_SPEED,TEMPERATURE,HUMIDITY,MIC_A,MIC_B
106099 1.58,24.50,39.00,-166.25,-189.00
106100 1.58,24.50,39.00,65.25,42.00
106108 1.58,24.50,39.00,277.75,-12.75
106108 1.58,24.50,39.00,-12.00,51.50
106116 1.58,24.50,39.00,-273.00,104.25
106116 1.58,24.50,39.00,-311.00,139.50
106124 1.58,24.50,39.00,156.25,26.50
106124 1.58,24.50,39.00,147.25,-256.00
106132 1.58,24.50,39.00,-275.00,-85.75
106132 1.58,24.50,39.00,-292.00,81.75
106140 1.58,24.50,39.00,104.50,58.25
106140 1.58,24.50,39.00,94.50,3.50
106148 1.58,24.50,39.00,122.50,-72.25
106149 1.58,24.50,39.00,255.00,27.00
106156 1.58,24.50,39.00,83.25,95.50
106156 1.58,24.50,39.00,-257.00,-114.50
106164 1.58,24.50,39.00,464.25,270.00
106164 1.58,24.50,39.00,169.75,-571.25
106172 1.58,24.50,39.00,-243.75,405.50
106172 1.58,24.50,39.00,-60.25,152.00
106180 1.58,24.50,39.00,-34.75,166.00
106180 1.58,24.50,39.00,-103.50,-68.25
106188 1.58,24.50,39.00,15.50,-28.25
106188 1.58,24.50,39.00,134.25,-209.00
106196 1.58,24.50,39.00,14.00,-26.75
106196 1.58,24.50,39.00,-124.00,94.75
106204 1.58,24.50,39.00,38.75,126.75
106205 1.58,24.50,39.00,84.75,-71.00
106213 1.58,24.50,39.00,30.50,37.00
106213 1.58,24.50,39.00,-184.50,49.25
106220 1.58,24.50,39.00,-68.50,-15.50
106220 1.58,24.50,39.00,221.75,7.75
106228 1.58,24.50,39.00,29.00,-182.00
106228 1.58,24.50,39.00,100.25,218.25
106236 1.58,24.50,39.00,39.00,-8.25
106236 1.58,24.50,39.00,-93.00,-17.00
106244 1.58,24.50,39.00,-140.50,62.50
106244 1.58,24.50,39.00,-132.25,4.50
106252 1.58,24.50,39.00,-38.75,40.75
106253 1.58,24.50,39.00,-114.75,-247.75
106260 1.58,24.50,39.00,-149.25,-123.00
106261 1.58,24.50,39.00,-105.75,-113.25
106268 1.58,24.50,39.00,6.00,60.25
106268 1.58,24.50,39.00,116.00,35.75
106276 1.58,24.50,39.00,24.75,2.50
106277 1.58,24.50,39.00,34.25,-9.25
106285 1.58,24.50,39.00,-103.00,-5.75
106285 1.58,24.50,39.00,274.50,47.75
106292 1.58,24.50,39.00,104.25,-116.00
106292 1.58,24.50,39.00,-129.25,3.75
106301 1.58,24.50,39.00,-56.75,87.25
106301 1.58,24.50,39.00,-99.00,-48.25
106309 1.58,24.50,39.00,-22.25,-5.75
106309 1.58,24.50,39.00,5.00,-35.75
106316 1.58,24.50,39.00,149.50,6.25
106317 1.58,24.50,39.00,-112.00,51.00
106324 1.58,24.50,39.00,-2.25,138.00
106324 1.58,24.50,39.00,128.75,-33.25
106332 1.58,24.50,39.00,-156.75,24.75
106332 1.58,24.50,39.00,124.00,19.25
106340 1.58,24.50,39.00,159.00,-158.50
106340 1.58,24.50,39.00,122.75,183.00
106348 1.58,24.50,39.00,127.50,9.50
106348 1.58,24.50,39.00,-78.75,83.75
106356 1.58,24.50,39.00,-306.25,-46.00
106356 1.58,24.50,39.00,-114.25,6.50
106365 1.58,24.50,39.00,403.00,-53.50
106365 1.58,24.50,39.00,-27.00,-51.75
106372 1.58,24.50,39.00,-150.25,106.00
106372 1.58,24.50,39.00,92.50,-11.50
106377 1.58,24.50,39.00,-29.50,13.25
106382 1.58,24.50,39.00,-62.00,87.25
106388 1.58,24.50,39.00,142.00,39.25
106388 1.58,24.50,39.00,131.25,30.25
106396 1.58,24.50,39.00,-55.00,130.25
106396 1.58,24.50,39.00,-150.75,-30.25
106405 1.58,24.50,39.00,32.25,-93.25
106405 1.58,24.50,39.00,18.25,-103.75
106411 1.58,24.50,39.00,-186.50,-57.00
106412 1.58,24.50,39.00,-102.50,-21.00
106420 1.58,24.50,39.00,72.00,-10.50
106420 1.58,24.50,39.00,-41.50,52.25
106428 1.58,24.50,39.00,-126.25,-64.00
106428 1.58,24.50,39.00,12.00,-40.50
106436 1.58,24.50,39.00,124.50,-53.00
106437 1.58,24.50,39.00,-155.00,42.00
106444 1.58,24.50,39.00,-42.00,27.00
106444 1.58,24.50,39.00,178.25,-36.25
106453 1.58,24.50,39.00,276.00,91.25
106453 1.58,24.50,39.00,127.50,180.50
106461 1.58,24.50,39.00,-16.25,-7.00
106461 1.58,24.50,39.00,-124.75,-40.25
106468 1.58,24.50,39.00,-306.50,-97.75
106468 1.58,24.50,39.00,53.75,-117.25
106477 1.58,24.50,39.00,-63.25,-74.50
106477 1.58,24.50,39.00,-113.75,86.75
106484 1.58,24.50,39.00,-131.25,-13.50
106484 1.58,24.50,39.00,17.00,-10.25
106492 1.58,24.50,39.00,115.50,-175.00
106492 1.58,24.50,39.00,176.25,76.00
106500 1.58,24.50,39.00,151.00,-8.50
106501 1.58,24.50,39.00,165.75,112.00
106508 1.58,24.50,39.00,76.75,-58.00
106509 1.58,24.50,39.00,-148.00,30.00
106516 1.58,24.50,39.00,-462.25,5.25
106517 1.58,24.50,39.00,-35.75,158.75
106524 1.58,24.50,39.00,62.75,19.75
106525 1.58,24.50,39.00,198.75,-275.00
106533 1.58,24.50,39.00,0.50,-115.75
106533 1.58,24.50,39.00,-162.25,8.50
106540 1.58,24.50,39.00,-76.75,72.50
106540 1.58,24.50,39.00,-130.25,-64.25
106549 1.58,24.50,39.00,-43.75,80.00
106549 1.58,24.50,39.00,88.50,19.25
106557 1.58,24.50,39.00,80.25,52.75
106557 1.58,24.50,39.00,55.50,-96.50
106564 1.58,24.50,39.00,-107.50,-111.25
106564 1.58,24.50,39.00,316.00,45.50
106572 1.58,24.50,39.00,330.00,-34.00
106572 1.58,24.50,39.00,190.00,173.50
106580 1.58,24.50,39.00,-251.25,69.25
106580 1.58,24.50,39.00,-126.25,101.50
106588 1.58,24.50,39.00,221.50,51.50
106588 1.58,24.50,39.00,-99.75,-106.75
106596 1.58,24.50,39.00,-166.75,41.00
106597 1.58,24.50,39.00,-67.00,214.75
106604 1.58,24.50,39.00,-65.25,-160.75
106604 1.58,24.50,39.00,186.00,-289.25
106612 1.58,24.50,39.00,104.50,-32.25
106612 1.58,24.50,39.00,-196.75,127.00
106620 1.58,24.50,39.00,-117.75,180.50
106621 1.58,24.50,39.00,65.25,20.00
106628 1.58,24.50,39.00,243.00,-5.50
106628 1.58,24.50,39.00,129.50,40.50
106636 1.58,24.50,39.00,-67.75,76.25
106636 1.58,24.50,39.00,-17.00,-104.75
106644 1.58,24.50,39.00,51.75,-312.00
106645 1.58,24.50,39.00,12.25,116.00
106652 1.58,24.50,39.00,-23.25,134.50
106652 1.58,24.50,39.00,-29.75,9.75
106660 1.58,24.50,39.00,-267.25,-151.50
106660 1.58,24.50,39.00,-431.00,-124.00
106668 1.58,24.50,39.00,111.25,65.75
106669 1.58,24.50,39.00,169.75,-32.25
106676 1.58,24.50,39.00,-127.00,-93.75
106676 1.58,24.50,39.00,-268.25,-30.50
106683 1.58,24.50,39.00,-22.00,212.00
106684 1.58,24.50,39.00,189.00,-212.25
106691 1.58,24.50,39.00,86.75,29.50
106692 1.58,24.50,39.00,17.00,52.25
106700 1.58,24.50,39.00,46.50,-26.25
106700 1.58,24.50,39.00,-20.00,25.50
106708 1.58,24.50,39.00,215.50,79.25
106708 1.58,24.50,39.00,-13.50,-93.00
106716 1.58,24.50,39.00,-58.25,23.00
106716 1.58,24.50,39.00,61.00,93.25
106724 1.58,24.50,39.00,123.00,26.25
106724 1.58,24.50,39.00,124.75,100.75
106732 1.58,24.50,39.00,87.75,111.75
106732 1.58,24.50,39.00,-306.25,37.75
106739 1.58,24.50,39.00,-104.00,-26.00
106740 1.58,24.50,39.00,-86.75,-260.50
106748 1.58,24.50,39.00,24.75,82.00
106748 1.58,24.50,39.00,-78.50,-35.75
106755 1.58,24.50,39.00,76.00,-72.00
106756 1.58,24.50,39.00,5.50,-6.50
106763 1.58,24.50,39.00,-67.00,121.50
106764 1.58,24.50,39.00,122.00,-149.75
106771 1.58,24.50,39.00,80.75,208.50
106772 1.58,24.50,39.00,-162.25,-233.25
106780 1.58,24.50,39.00,-302.00,46.25
106780 1.58,24.50,39.00,81.00,23.75
106788 1.58,24.50,39.00,78.50,-13.50
106788 1.58,24.50,39.00,-140.00,-69.75
106796 1.58,24.50,39.00,129.75,-31.75
106796 1.58,24.50,39.00,-138.75,-14.00
106804 1.58,24.50,39.00,318.00,-14.00
106805 1.58,24.50,39.00,63.25,-12.75
106813 1.58,24.50,39.00,-49.00,18.25
106813 1.58,24.50,39.00,-61.00,-39.50
106820 1.58,24.50,39.00,0.25,248.25
106820 1.58,24.50,39.00,79.50,117.25
106828 1.58,24.50,39.00,62.75,-13.25
106828 1.58,24.50,39.00,42.00,-9.50
106836 1.58,24.50,39.00,87.75,92.50
106836 1.58,24.50,39.00,-50.25,39.75
106844 1.58,24.50,39.00,-225.50,99.75
106845 1.58,24.50,39.00,-92.00,-56.75
106852 1.58,24.50,39.00,79.75,-231.25
106852 1.58,24.50,39.00,34.75,24.25
106860 1.58,24.50,39.00,3.00,-86.00
106860 1.58,24.50,39.00,118.50,-25.75
106868 1.58,24.50,39.00,7.75,234.50
106868 1.58,24.50,39.00,-298.25,-18.25
106876 1.58,24.50,39.00,-42.00,-145.25
106876 1.58,24.50,39.00,91.00,-16.00
106885 1.58,24.50,39.00,75.50,-145.25
106885 1.58,24.50,39.00,-251.75,-64.75
106893 1.58,24.50,39.00,-128.25,88.50
106893 1.58,24.50,39.00,101.75,5.25
106900 1.58,24.50,39.00,178.00,-193.00
106901 1.58,24.50,39.00,176.75,21.25
106908 1.58,24.50,39.00,261.75,113.00
106909 1.58,24.50,39.00,-231.25,162.50
106916 1.58,24.50,39.00,-331.50,109.50
106917 1.58,24.50,39.00,-124.25,-212.25
106924 1.58,24.50,39.00,120.75,-157.25
106925 1.58,24.50,39.00,164.25,43.50
106933 1.58,24.50,39.00,82.25,65.75
106933 1.58,24.50,39.00,-32.00,139.25
106940 1.58,24.50,39.00,71.25,-128.50
106940 1.58,24.50,39.00,91.25,-12.75
106948 1.58,24.50,39.00,-111.75,87.00
106948 1.58,24.50,39.00,-309.75,119.75
106956 1.58,24.50,39.00,98.00,-144.75
106957 1.58,24.50,39.00,161.25,-239.25
106965 1.58,24.50,39.00,-18.25,10.50
106965 1.58,24.50,39.00,-1.25,240.00
106972 1.58,24.50,39.00,-273.75,173.00
106973 1.58,24.50,39.00,-40.50,22.00
106980 1.58,24.50,39.00,33.75,38.25
106980 1.58,24.50,39.00,80.50,21.25
106988 1.58,24.50,39.00,-87.50,82.75
106988 1.58,24.50,39.00,-52.50,-130.75
106996 1.58,24.50,39.00,-9.25,-103.25
106996 1.58,24.50,39.00,108.25,-17.00
107004 1.58,24.50,39.00,-182.50,-20.00
107004 1.58,24.50,39.00,159.75,7.25
107012 1.58,24.50,39.00,245.75,-43.50
107013 1.58,24.50,39.00,7.25,74.75
107020 1.58,24.50,39.00,194.75,184.00
107020 1.58,24.50,39.00,139.00,-155.25
107028 1.58,24.50,39.00,41.00,120.50
107028 1.58,24.50,39.00,69.00,139.75
107036 1.58,24.50,39.00,77.75,10.75
107037 1.58,24.50,39.00,-130.75,74.00
107041 1.58,24.50,39.00,-111.75,55.75
107049 1.58,24.50,39.00,-56.50,-131.50
107050 1.58,24.50,39.00,7.00,-287.25
107052 1.58,24.50,39.00,107.00,164.50
107060 1.58,24.50,39.00,-180.25,84.50
107060 1.58,24.50,39.00,-38.75,24.75
107068 1.58,24.50,39.00,-116.50,-203.25
107068 1.58,24.50,39.00,-79.25,37.50
107076 1.58,24.50,39.00,72.00,-60.50
107076 1.58,24.50,39.00,-217.75,-98.25
107084 1.58,24.50,39.00,34.50,-2.75
107085 1.58,24.50,39.00,207.75,-135.75
107092 1.58,24.50,39.00,100.75,82.25
107093 1.58,24.50,39.00,-90.75,30.75
107100 1.58,24.50,39.00,-7.00,-2.25
107100 1.58,24.50,39.00,-76.50,65.50
107108 1.58,24.50,39.00,129.75,-115.75
107108 1.58,24.50,39.00,-184.75,-107.25
107116 1.58,24.50,39.00,-165.50,276.00
107116 1.58,24.50,39.00,161.75,-20.75
107124 1.58,24.50,39.00,146.50,-131.00
107124 1.58,24.50,39.00,-67.25,-86.00
107132 1.58,24.50,39.00,-356.50,57.75
107133 1.58,24.50,39.00,-9.25,55.50
107140 1.58,24.50,39.00,312.75,-215.50
107140 1.58,24.50,39.00,51.25,61.25
107147 1.58,24.50,39.00,-40.00,115.25
107149 1.58,24.50,39.00,228.25,-43.50
107156 1.58,24.50,39.00,-67.25,-104.00
107156 1.58,24.50,39.00,-151.25,232.25
107164 1.58,24.50,39.00,157.25,-34.75
107165 1.58,24.50,39.00,0.00,-129.50
107172 1.58,24.50,39.00,-285.50,34.25
107173 1.58,24.50,39.00,49.00,178.50
107180 1.58,24.50,39.00,106.25,-45.25
107181 1.58,24.50,39.00,90.75,155.75
107188 1.58,24.50,39.00,-88.25,-13.00
107188 1.58,24.50,39.00,172.25,-102.50
107196 1.58,24.50,39.00,29.50,-154.50
107197 1.58,24.50,39.00,-155.00,-6.50
107204 1.58,24.50,39.00,-211.00,127.00
107204 1.58,24.50,39.00,150.50,73.00
107212 1.58,24.50,39.00,53.75,-93.00
107213 1.58,24.50,39.00,-114.25,109.00
107220 1.58,24.50,39.00,-27.00,46.25
107220 1.58,24.50,39.00,-13.50,2.25
107228 1.58,24.50,39.00,-106.50,-203.75
107229 1.58,24.50,39.00,-4.50,69.00
107236 1.58,24.50,39.00,149.25,16.00
107237 1.58,24.50,39.00,139.75,68.75
107244 1.58,24.50,39.00,89.50,25.25
107244 1.58,24.50,39.00,-18.25,36.25
107252 1.58,24.50,39.00,-17.25,-32.25
107253 1.58,24.50,39.00,109.00,-200.25
107260 1.58,24.50,39.00,47.00,-100.00
107261 1.58,24.50,39.00,-129.25,102.25
107269 1.58,24.50,39.00,-307.25,123.75
107270 1.58,24.50,39.00,-51.25,-128.75
107276 1.58,24.50,39.00,173.75,-192.25
107276 1.58,24.50,39.00,-77.50,-82.75
107284 1.58,24.50,39.00,82.25,219.25
107285 1.58,24.50,39.00,265.00,161.25
107292 1.58,24.50,39.00,445.00,-89.75
107292 1.58,24.50,39.00,233.00,-39.50
107300 1.58,24.50,39.00,-249.25,202.75
107300 1.58,24.50,39.00,-332.25,-64.25
107308 1.58,24.50,39.00,-327.50,232.50
107308 1.58,24.50,39.00,-9.00,-364.50
107316 1.58,24.50,39.00,84.75,-115.00
107317 1.58,24.50,39.00,-14.75,80.75
107324 1.58,24.50,39.00,37.00,161.25
107325 1.58,24.50,39.00,104.75,14.50
107332 1.58,24.50,39.00,-52.00,-46.00
107333 1.58,24.50,39.00,67.75,140.00
107340 1.58,24.50,39.00,109.25,-38.75
107340 1.58,24.50,39.00,-57.25,-88.50
107348 1.58,24.50,39.00,-155.50,8.50
107348 1.58,24.50,39.00,116.25,190.00
107356 1.58,24.50,39.00,139.25,-264.50
107356 1.58,24.50,39.00,-166.00,-34.00
107364 1.58,24.50,39.00,25.00,158.00
107364 1.58,24.50,39.00,-122.75,-36.25
107372 1.58,24.50,39.00,-190.25,66.25
107372 1.58,24.50,39.00,-9.00,-116.25
107379 1.58,24.50,39.00,-102.00,-215.50
107380 1.58,24.50,39.00,26.00,-61.75
107388 1.58,24.50,39.00,110.25,-34.50
107388 1.58,24.50,39.00,32.00,23.75
107396 1.58,24.50,39.00,66.50,-24.75
107396 1.58,24.50,39.00,78.50,179.75
107404 1.58,24.50,39.00,7.50,-39.75
107404 1.58,24.50,39.00,-89.25,58.25
107412 1.58,24.50,39.00,-256.00,-48.00
107413 1.58,24.50,39.00,-25.75,186.75
107420 1.58,24.50,39.00,225.75,26.25
107420 1.58,24.50,39.00,-38.25,-315.25
107428 1.58,24.50,39.00,20.25,218.00
107428 1.58,24.50,39.00,102.50,94.00
107436 1.58,24.50,39.00,0.50,-173.25
107436 1.58,24.50,39.00,-109.00,-164.50
107444 1.58,24.50,39.00,-141.00,197.00
107445 1.49,24.50,39.00,220.25,46.00
107452 1.49,24.50,39.00,38.75,37.00
107452 1.49,24.50,39.00,-123.00,15.75
107460 1.49,24.50,39.00,9.00,1.00
107460 1.49,24.50,39.00,134.75,-63.00
107468 1.49,24.50,39.00,233.50,-92.50
107468 1.49,24.50,39.00,-295.25,-2.75
107476 1.49,24.50,39.00,49.00,11.50
107476 1.49,24.50,39.00,119.75,-55.50
107485 1.49,24.50,39.00,53.00,228.00
107485 1.49,24.50,39.00,26.75,169.50
107492 1.49,24.50,39.00,122.50,-71.00
107492 1.49,24.50,39.00,63.75,-117.25
107501 1.49,24.50,39.00,17.25,202.25
107501 1.49,24.50,39.00,-25.75,-2.00
107508 1.49,24.50,39.00,-173.00,-129.50
107508 1.49,24.50,39.00,-148.00,-33.50
107518 1.49,24.50,39.00,-40.75,-34.00
107518 1.49,24.50,39.00,-89.25,57.00
107525 1.49,24.50,39.00,-40.00,-78.75
107525 1.49,24.50,39.00,-12.25,-57.75
107534 1.49,24.50,39.00,27.50,63.00
107534 1.49,24.50,39.00,-33.75,-28.00
107542 1.49,24.50,39.00,-94.00,-34.50
107542 1.49,24.50,39.00,23.50,146.00
107549 1.49,24.50,39.00,199.00,59.25
107550 1.49,24.50,39.00,192.00,-32.50
107557 1.49,24.50,39.00,-28.50,-45.50
107557 1.49,24.50,39.00,32.25,71.75
107564 1.49,24.50,39.00,-78.75,-3.25
107564 1.49,24.50,39.00,123.50,-92.75
107573 1.49,24.50,39.00,114.00,-170.00
107573 1.49,24.50,39.00,-35.25,-108.00
107580 1.49,24.50,39.00,2.00,68.50
107580 1.49,24.50,39.00,-67.00,-1.00
107588 1.49,24.50,39.00,-152.25,74.50
107589 1.49,24.50,39.00,-169.50,33.25
107596 1.49,24.50,39.00,-58.50,31.75
107596 1.49,24.50,39.00,-46.50,82.50
107604 1.49,24.50,39.00,-69.50,-176.75
107604 1.49,24.50,39.00,16.50,-118.25
107612 1.49,24.50,39.00,-7.25,-109.00
107613 1.49,24.50,39.00,-107.00,-75.00
107621 1.49,24.50,39.00,-37.50,-11.50
107622 1.49,24.50,39.00,79.50,110.75
107628 1.49,24.50,39.00,67.50,99.25
107628 1.49,24.50,39.00,-2.50,91.00
107636 1.49,24.50,39.00,-27.25,34.25
107636 1.49,24.50,39.00,89.00,-6.75
107644 1.49,24.50,39.00,121.25,-11.75
107644 1.49,24.50,39.00,37.00,4.25
107652 1.49,24.50,39.00,-55.00,-19.25
107652 1.49,24.50,39.00,21.25,-3.00
107660 1.49,24.50,39.00,-3.75,10.75
107660 1.49,24.50,39.00,-14.25,-39.75
107668 1.49,24.50,39.00,12.50,-67.25
107668 1.49,24.50,39.00,22.75,-67.25
107677 1.49,24.50,39.00,-64.50,37.25
107677 1.49,24.50,39.00,-59.50,0.00
107684 1.49,24.50,39.00,-73.25,-25.50
107685 1.49,24.50,39.00,-64.75,-12.50
107692 1.49,24.50,39.00,2.00,-133.50
107693 1.49,24.50,39.00,85.50,19.75
107700 1.49,24.50,39.00,39.00,174.00
107701 1.49,24.50,39.00,-120.75,48.75
107708 1.49,24.50,39.00,-32.25,-132.25
107708 1.49,24.50,39.00,69.25,-110.25
107716 1.49,24.50,39.00,153.50,-131.00
107717 1.49,24.50,39.00,265.25,73.25
107724 1.49,24.50,39.00,-18.50,188.75
107724 1.49,24.50,39.00,-143.50,209.50
107732 1.49,24.50,39.00,-274.00,104.50
107732 1.49,24.50,39.00,10.50,437.75
107740 1.49,24.50,39.00,-82.25,-500.00
107740 1.49,24.50,39.00,99.75,-226.75
107748 1.49,24.50,39.00,47.50,-91.00
107748 1.49,24.50,39.00,-73.00,31.25
107756 1.49,24.50,39.00,10.75,83.75
107756 1.49,24.50,39.00,-236.50,-5.75
107765 1.49,24.50,39.00,183.25,-33.25
107765 1.49,24.50,39.00,150.75,-101.25
107773 1.49,24.50,39.00,-1.50,150.00
107773 1.49,24.50,39.00,-245.25,53.00
107780 1.49,24.50,39.00,-215.75,-104.00
107780 1.49,24.50,39.00,135.50,-110.25
107789 1.49,24.50,39.00,287.50,-25.50
107789 1.49,24.50,39.00,210.75,58.50
107797 1.49,24.50,39.00,147.50,176.50
107797 1.49,24.50,39.00,235.25,86.50
107805 1.49,24.50,39.00,79.75,72.25
107805 1.49,24.50,39.00,35.50,118.50
107813 1.49,24.50,39.00,12.00,-4.75
107813 1.49,24.50,39.00,-34.75,-139.25
107820 1.49,24.50,39.00,-104.25,-2.75
107821 1.49,24.50,39.00,12.75,54.00
107828 1.49,24.50,39.00,-246.50,-158.75
107828 1.49,24.50,39.00,-261.00,-30.25
107836 1.49,24.50,39.00,-162.25,-74.75
107836 1.49,24.50,39.00,72.75,-106.25
107844 1.49,24.50,39.00,0.25,-130.75
107844 1.49,24.50,39.00,-121.00,90.25
107853 1.49,24.50,39.00,-92.00,-35.50
107853 1.49,24.50,39.00,-40.75,-3.50
107861 1.49,24.50,39.00,60.00,70.50
107861 1.49,24.50,39.00,103.00,-7.50
107867 1.49,24.50,39.00,142.50,21.75
107867 1.49,24.50,39.00,93.50,36.75
107876 1.49,24.50,39.00,-324.75,-23.50
107876 1.49,24.50,39.00,-77.25,29.50
107885 1.49,24.50,39.00,-5.00,-89.75
107885 1.49,24.50,39.00,4.50,-38.25
107892 1.49,24.50,39.00,168.75,-43.50
107892 1.49,24.50,39.00,-70.75,-10.25
107900 1.49,24.50,39.00,-14.25,46.75
107901 1.49,24.50,39.00,100.75,119.75
107909 1.49,24.50,39.00,-43.00,36.50
107909 1.49,24.50,39.00,-261.50,10.50
107916 1.49,24.50,39.00,156.50,-62.25
107916 1.49,24.50,39.00,110.00,-47.00
107925 1.49,24.50,39.00,-4.00,75.00
107925 1.49,24.50,39.00,-53.00,12.75
107932 1.49,24.50,39.00,15.25,58.00
107932 1.49,24.50,39.00,-11.50,35.75
107940 1.49,24.50,39.00,137.50,64.00
107941 1.49,24.50,39.00,65.75,-90.75
107948 1.49,24.50,39.00,-34.00,33.50
107948 1.49,24.50,39.00,-106.00,-43.50
107957 1.49,24.50,39.00,-160.25,-39.25
107957 1.49,24.50,39.00,106.50,-9.75
107965 1.49,24.50,39.00,178.00,24.25
107965 1.49,24.50,39.00,162.00,7.00
107973 1.49,24.50,39.00,-22.50,46.75
107973 1.49,24.50,39.00,-95.50,-16.75
107980 1.49,24.50,39.00,-41.00,-17.75
107980 1.49,24.50,39.00,62.75,-191.25
107989 1.49,24.50,39.00,-45.50,24.00
107989 1.49,24.50,39.00,-123.00,2.75
107997 1.49,24.50,39.00,116.25,-32.25
107997 1.49,24.50,39.00,44.75,-0.25
108004 1.49,24.50,39.00,-262.75,76.00
108004 1.49,24.50,39.00,-100.50,-57.00
108012 1.49,24.50,39.00,-135.25,132.50
108012 1.49,24.50,39.00,41.25,-65.25
108021 1.49,24.50,39.00,24.75,-79.75
108021 1.49,24.50,39.00,-43.00,4.25
108028 1.49,24.50,39.00,0.75,28.50
108029 1.49,24.50,39.00,-19.25,24.50
108036 1.49,24.50,39.00,37.00,69.00
108036 1.49,24.50,39.00,109.25,3.75
108044 1.49,24.50,39.00,-5.00,18.25
108044 1.49,24.50,39.00,-73.00,29.50
108053 1.49,24.50,39.00,-18.75,15.50
108053 1.49,24.50,39.00,175.00,-76.00
108061 1.49,24.50,39.00,47.00,-99.25
108061 1.49,24.50,39.00,39.00,143.50
108069 1.49,24.50,39.00,-297.00,-120.00
108069 1.49,24.50,39.00,-176.50,3.00
108076 1.49,24.50,39.00,-14.25,-185.50
108076 1.49,24.50,39.00,13.00,126.00
108084 1.49,24.50,39.00,141.50,51.25
108084 1.49,24.50,39.00,-24.00,33.50
108092 1.49,24.50,39.00,-155.75,-110.00
108093 1.49,24.50,39.00,-128.25,-106.75
108101 1.49,24.50,39.00,6.25,56.75
108101 1.49,24.50,39.00,149.75,-11.50
108108 1.49,24.50,39.00,-48.75,-29.00
108108 1.49,24.50,39.00,389.25,102.25
108117 1.49,24.50,39.00,265.75,-68.50
108117 1.49,24.50,39.00,78.75,137.25
108124 1.49,24.50,39.00,-316.25,62.25
108125 1.49,24.50,39.00,-79.75,-32.75
108133 1.49,24.50,39.00,-67.00,-100.50
108133 1.49,24.50,39.00,-8.50,39.75
108140 1.49,24.50,39.00,-89.50,54.25
108141 1.49,24.50,39.00,-226.25,2.75
108148 1.49,24.50,39.00,12.25,24.25
108148 1.49,24.50,39.00,179.75,-92.00
108156 1.49,24.50,39.00,18.00,-57.75
108157 1.49,24.50,39.00,-79.25,-42.50
108164 1.49,24.50,39.00,48.75,23.00
108164 1.49,24.50,39.00,-8.75,99.75
108172 1.49,24.50,39.00,143.25,103.50
108172 1.49,24.50,39.00,254.25,-37.50
108180 1.49,24.50,39.00,222.00,21.75
108180 1.49,24.50,39.00,139.25,130.25
108188 1.49,24.50,39.00,66.50,153.75
108189 1.49,24.50,39.00,-29.25,198.50
108196 1.49,24.50,39.00,-72.25,-57.00
108196 1.49,24.50,39.00,-11.25,-157.00
108204 1.49,24.50,39.00,-1.75,-4.50
108204 1.49,24.50,39.00,-45.50,16.25
108212 1.49,24.50,39.00,-111.00,-3.50
108212 1.49,24.50,39.00,55.50,0.25
108220 1.49,24.50,39.00,38.75,-64.25
108220 1.49,24.50,39.00,-19.25,57.50
108228 1.49,24.50,39.00,20.25,57.00
108228 1.49,24.50,39.00,-158.25,9.50
108236 1.49,24.50,39.00,-55.00,-86.25
108236 1.49,24.50,39.00,37.75,-218.00
108244 1.49,24.50,39.00,-141.25,106.75
108244 1.49,24.50,39.00,-199.25,-28.75
108252 1.49,24.50,39.00,149.50,-201.00
108252 1.49,24.50,39.00,-1.00,-70.25
108260 1.49,24.50,39.00,-40.00,96.50
108260 1.49,24.50,39.00,91.75,77.00
108268 1.49,24.50,39.00,-52.75,8.25
108268 1.49,24.50,39.00,-31.25,-16.50
108276 1.49,24.50,39.00,3.25,39.50
108276 1.49,24.50,39.00,-21.50,72.00
108284 1.49,24.50,39.00,63.75,35.25
108285 1.49,24.50,39.00,104.25,-41.50
108292 1.49,24.50,39.00,17.25,17.00
108292 1.49,24.50,39.00,-72.00,9.00
108300 1.49,24.50,39.00,-126.75,-159.25
108300 1.49,24.50,39.00,116.50,-28.25
108308 1.49,24.50,39.00,187.75,-54.25
108309 1.49,24.50,39.00,122.50,71.50
108316 1.49,24.50,39.00,-69.00,35.75
108317 1.49,24.50,39.00,-61.00,157.75
108324 1.49,24.50,39.00,25.25,-37.25
108325 1.49,24.50,39.00,119.00,25.25
108332 1.49,24.50,39.00,152.00,40.00
108332 1.49,24.50,39.00,40.50,0.25
108340 1.49,24.50,39.00,-138.25,-48.25
108341 1.49,24.50,39.00,191.00,33.50
108348 1.49,24.50,39.00,-30.00,116.00
108349 1.49,24.50,39.00,146.50,22.75
108356 1.49,24.50,39.00,11.25,-173.75
108356 1.49,24.50,39.00,-206.25,-16.25
108364 1.49,24.50,39.00,-22.75,-18.75
108364 1.49,24.50,39.00,-90.25,-25.50
108372 1.49,24.50,39.00,-56.50,-198.25
108372 1.49,24.50,39.00,-269.25,-60.75
108380 1.49,24.50,39.00,53.00,-123.25
108380 1.49,24.50,39.00,163.25,63.50
108388 1.49,24.50,39.00,37.75,142.25
108388 1.49,24.50,39.00,-171.00,45.25
108396 1.49,24.50,39.00,-188.00,43.50
108396 1.49,24.50,39.00,26.25,-146.50
108404 1.49,24.50,39.00,-129.00,-143.25
108404 1.49,24.50,39.00,-95.50,-8.00
108412 1.49,24.50,39.00,185.00,114.25
108413 1.49,24.50,39.00,114.50,37.50
108420 1.49,24.50,39.00,36.50,-1.75
108420 1.49,24.50,39.00,153.75,50.50
